result_id,date,component,dataset_or_corpus,status,decision,decision_class,summary_path,summary_present,machine_record_path,machine_record_present,all_linked_evidence_paths,reproduction,registry_line
goal-completion-scope-development-001,2026-09-06,Goal lifecycle scope,Synthetic 30-day matched-seed development,144 histories; unsupported completion 12 to 0,Keep lifecycle correction only,keep,research/05_evaluation/goal-completion-scope-development-001-results.md,True,research/05_evaluation/records/goal-completion-scope-development-001.json,True,research/05_evaluation/goal-completion-scope-development-001-results.md;research/05_evaluation/records/goal-completion-scope-development-001.json,Exact source archives; zero LLM calls,17
goal-completion-scope-development-001-baseline,2026-09-06,Goal lifecycle scope,Synthetic 30-day matched-seed development,Completed; 12 unsupported completions in 11 histories,Drop unscoped completion,drop,research/05_evaluation/goal-completion-scope-development-001-results.md,True,research/05_evaluation/records/goal-completion-scope-development-001-baseline.json,True,research/05_evaluation/goal-completion-scope-development-001-results.md;research/05_evaluation/records/goal-completion-scope-development-001-baseline.json,Exact source archives; zero LLM calls,18
goal-completion-scope-development-001-candidate,2026-09-06,Goal lifecycle scope,Synthetic 30-day matched-seed development,Completed; 0 unsupported; 15 supported; 19 gates passed,Keep correction; no learning-quality claim,keep,research/05_evaluation/goal-completion-scope-development-001-results.md,True,research/05_evaluation/records/goal-completion-scope-development-001-candidate.json,True,research/05_evaluation/goal-completion-scope-development-001-results.md;research/05_evaluation/records/goal-completion-scope-development-001-candidate.json,Exact source archives; zero LLM calls,19
goal-completion-scope-review-audit-001,2026-09-06,Goal lifecycle scope,96 saved synthetic histories and actual-service counterexample,Confirmed defect; initial measurement/harness errors retained,Refine; separate paired correction,refine,research/05_evaluation/goal-completion-scope-review-audit-001-results.md,True,research/05_evaluation/records/goal-completion-scope-review-audit-001.json,True,research/05_evaluation/goal-completion-scope-review-audit-001-results.md;research/05_evaluation/records/goal-completion-scope-review-audit-001.json,Read-only committed-delta inspection; zero LLM calls,20
final-response-support-audit-002-exposed-live-001,2026-09-06,V2 final response verification,Fixed exposed112;12reached/100blocked,Stopped24calls;1timeout/unknown cost;critical survives,Drop; no fresh128 or further prompt-only retry,drop,research/05_evaluation/final-response-support-audit-002-exposed-live-001-results.md,True,research/05_evaluation/records/final-response-support-audit-002-exposed-live-001.json,True,research/05_evaluation/final-response-support-audit-002-exposed-live-001-results.md;research/05_evaluation/records/final-response-support-audit-002-exposed-live-001.json,Known USD0.38008 +1unknown; no repairs,21
final-response-support-audit-001-exposed-live-001,2026-09-06,Final response support/quality verification,Fixed exposed V16 112;20reached/92blocked,Stopped54calls;2schema failures;known critical survives,Refine; fresh128 not run; no integration,refine,research/05_evaluation/final-response-support-audit-001-exposed-live-001-results.md,True,research/05_evaluation/records/final-response-support-audit-001-exposed-live-001.json,True,research/05_evaluation/final-response-support-audit-001-exposed-live-001-results.md;research/05_evaluation/records/final-response-support-audit-001-exposed-live-001.json,USD1.012588; frozen source;6delivered repairs/5coverage regressions,22
mixed-source-candidate-recovery-development-001-attempt-006,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Completed: 143/143 assertions,Keep integration coverage only,keep,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-006-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-006.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-006-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-006.json,Credentialed TestClient; zero external calls; retained attempt006,23
mixed-source-candidate-recovery-development-001-attempt-005,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Completed: 139/139 assertions,Keep integration coverage only,keep,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-005-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-005.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-005-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-005.json,Credentialed TestClient; zero external calls; retained attempt005,24
mixed-source-candidate-recovery-development-001-attempt-004,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Failed harness setup: 58/59 assertions,Refine the harness setup; no product quality conclusion,refine,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-004-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-004.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-004-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-004.json,Credentialed TestClient; zero external calls; retained attempt004,25
mixed-source-candidate-recovery-development-001-attempt-003,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Failed harness setup: 47/48 assertions,Refine the harness setup; no product quality conclusion,refine,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-003-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-003.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-003-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-003.json,Credentialed TestClient; zero external calls; retained attempt003,26
