result_id,family,design_group,anchor,pdf_page,combined_pdf_page,printed_page_label,date,status,decision,summary_path,machine_record_path
goal-completion-scope-development-001,Learner state and timing,Learner estimation and intervention timing,trial-3c398dee92da,125,160,S-125,2026-09-06,144 histories; unsupported completion 12 to 0,Keep lifecycle correction only,research/05_evaluation/goal-completion-scope-development-001-results.md,research/05_evaluation/records/goal-completion-scope-development-001.json
goal-completion-scope-development-001-baseline,Learner state and timing,Learner estimation and intervention timing,trial-f7c3a97ceb4b,126,161,S-126,2026-09-06,Completed; 12 unsupported completions in 11 histories,Drop unscoped completion,research/05_evaluation/goal-completion-scope-development-001-results.md,research/05_evaluation/records/goal-completion-scope-development-001-baseline.json
goal-completion-scope-development-001-candidate,Learner state and timing,Learner estimation and intervention timing,trial-f91a483007bf,126,161,S-126,2026-09-06,Completed; 0 unsupported; 15 supported; 19 gates passed,Keep correction; no learning-quality claim,research/05_evaluation/goal-completion-scope-development-001-results.md,research/05_evaluation/records/goal-completion-scope-development-001-candidate.json
goal-completion-scope-review-audit-001,Learner state and timing,Learner estimation and intervention timing,trial-bce1b274834c,127,162,S-127,2026-09-06,Confirmed defect; initial measurement/harness errors retained,Refine; separate paired correction,research/05_evaluation/goal-completion-scope-review-audit-001-results.md,research/05_evaluation/records/goal-completion-scope-review-audit-001.json
final-response-support-audit-002-exposed-live-001,Evaluation instruments and evidence governance,Measurement correction and semantic review,trial-fc31af740fe7,263,298,S-263,2026-09-06,Stopped24calls;1timeout/unknown cost;critical survives,Drop; no fresh128 or further prompt-only retry,research/05_evaluation/final-response-support-audit-002-exposed-live-001-results.md,research/05_evaluation/records/final-response-support-audit-002-exposed-live-001.json
final-response-support-audit-001-exposed-live-001,Evaluation instruments and evidence governance,Measurement correction and semantic review,trial-52bcf58cb4e9,262,297,S-262,2026-09-06,Stopped54calls;2schema failures;known critical survives,Refine; fresh128 not run; no integration,research/05_evaluation/final-response-support-audit-001-exposed-live-001-results.md,research/05_evaluation/records/final-response-support-audit-001-exposed-live-001.json
mixed-source-candidate-recovery-development-001-attempt-006,"Persistence, delivery and operations",Local deployment and service continuity,trial-8a065b112363,224,259,S-224,2026-09-06,Completed: 143/143 assertions,Keep integration coverage only,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-006-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-006.json
mixed-source-candidate-recovery-development-001-attempt-005,"Persistence, delivery and operations",Local deployment and service continuity,trial-cc5909b39bc7,224,259,S-224,2026-09-06,Completed: 139/139 assertions,Keep integration coverage only,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-005-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-005.json
mixed-source-candidate-recovery-development-001-attempt-004,"Persistence, delivery and operations",Local deployment and service continuity,trial-9d18010613c9,224,259,S-224,2026-09-06,Failed harness setup: 58/59 assertions,Refine the harness setup; no product quality conclusion,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-004-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-004.json
mixed-source-candidate-recovery-development-001-attempt-003,"Persistence, delivery and operations",Local deployment and service continuity,trial-dc7c99cd2e59,223,258,S-223,2026-09-06,Failed harness setup: 47/48 assertions,Refine the harness setup; no product quality conclusion,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-003-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-003.json
mixed-source-candidate-recovery-development-001-attempt-002,"Persistence, delivery and operations",Local deployment and service continuity,trial-1d1a4c0b62e6,223,258,S-223,2026-09-06,Failed harness setup: 0/0 assertions,Refine the harness setup; no product quality conclusion,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-002-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-002.json
mixed-source-candidate-recovery-development-001-attempt-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-633a097c3f41,222,257,S-222,2026-09-06,Failed harness setup: 0/0 assertions,Refine the harness setup; no product quality conclusion,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-001-results.md,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-001.json
final-profile-asgi-tutoring-concurrency-development-20260906-002,"Persistence, delivery and operations",Local deployment and service continuity,trial-b783291ee3c9,220,255,S-220,2026-09-06,100/100POST;150calls;providerpeak5;one safe graph failure,Keep explicit development concurrency;Refinequality;serialdefault retained,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-002-results.md,research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-002.json
final-profile-asgi-tutoring-concurrency-development-20260906-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-e8b21f41e6f4,219,254,S-219,2026-09-06,100/100 POST contracts; 150 calls; provider peak1; 94answer/3question/3no-evidence,Refine serialized budget; no quality/deployment qualification,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-001-results.md,research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-001.json
cross-course-quality-development-001-live-005-failure-diagnostic-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-f5263d790f2d,219,254,S-219,2026-09-06,Four candidate closed failures confirmed; incumbent paths never reached injection,Keep separate operational diagnostic; original39/44 and all gold unchanged,research/05_evaluation/cross-course-quality-development-001-live-005-failure-diagnostic-001-results.md,research/05_evaluation/records/cross-course-quality-development-001-live-005-failure-diagnostic-001.json
cross-course-quality-development-001-live-005,Retrieval and factual grounding,Text retrieval and factual answers,trial-f7340a9c51f9,57,92,S-57,2026-09-06,44/44 external responses accepted; zero unexpected failures; four injected timeouts; candidate39/44 versus incumbent28/44 mechanical diagnostics,"Go Deeper for bounded operational pilot; Refine quality, labels and profile progression; no promotion",research/05_evaluation/cross-course-quality-development-001-live-005-results.md,research/05_evaluation/records/cross-course-quality-development-001-live-005.json
cross-course-quality-development-001-live-004,Retrieval and factual grounding,Text retrieval and factual answers,trial-947c4c082e93,56,91,S-56,2026-09-06,Refine: 27/44 external calls accepted; 17 localized schema failures; four injected timeouts,Correct conditional schema; retain 28/44 versus 30/44 mechanical diagnostics without quality promotion,research/05_evaluation/cross-course-quality-development-001-live-004-results.md,research/05_evaluation/records/cross-course-quality-development-001-live-004.json
cross-course-quality-development-001-diagnostic-003,Retrieval and factual grounding,Text retrieval and factual answers,trial-941fbbd5417a,55,90,S-55,2026-09-06,"Completed: two external responses accepted, both explanatory outputs supported",Go Deeper: remaining schema failure not reproduced; no full-quality pass,research/05_evaluation/cross-course-quality-development-001-diagnostic-003-results.md,research/05_evaluation/records/cross-course-quality-development-001-diagnostic-003.json
